No.,productname,unit,quantity,price,total,orderdate,customername,customercontactname,customeraddress,customercity,customerpostalcode,customercountry,shippername,shipperphone,suppliername,suppliercontactname,supplieraddress,suppliercity,supplierpostalcode,suppliercountry,supplierphone,categoryname,categorydescription
17,Ikura,12 - 200 ml jars,24,31,744,8/5/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Federal Shipping,(503) 555-9931,Tokyo Traders,Yoshi Nagase,9-8 Sekimai Musashino-shi,Tokyo,100,Japan,(03) 3555-5011,Seafood,Seaweed and fish
18,Gorgonzola Telino,12 - 100 g pkgs,15,12.5,187.5,8/5/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Federal Shipping,(503) 555-9931,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
19,Geitost,500 g,20,2.5,50,8/5/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Federal Shipping,(503) 555-9931,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
20,Boston Crab Meat,24 - 4 oz tins,60,18.4,1104,8/5/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Federal Shipping,(503) 555-9931,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
21,Lakkalikoori,500 ml,33,18,594,8/5/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Federal Shipping,(503) 555-9931,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Beverages,"Soft drinks, coffees, teas, beers, and ales"
22,Fløtemysost,10 - 500 g pkgs.,20,21.5,430,8/6/1996,Vins et alcools Chevalier,Paul Henriot,59 rue de l'Abbaye,Reims,51100,France,Speedy Express,(503) 555-9831,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
23,Mozzarella di Giovanni,24 - 200 g pkgs.,7,34.8,243.6,8/6/1996,Vins et alcools Chevalier,Paul Henriot,59 rue de l'Abbaye,Reims,51100,France,Speedy Express,(503) 555-9831,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
24,Guarana Fantastica,12 - 355 ml cans,12,4.5,54,8/7/1996,Magazzini Alimentari Riuniti,Giovanni Rovelli,Via Ludovico il Moro 22,Bergamo,24100,Italy,Speedy Express,(503) 555-9831,Refrescos Americanas LTDA,Carlos Diaz,Av. das Americanas 12.890,São Paulo,5442,Brazil,(11) 555 4640,Beverages,"Soft drinks, coffees, teas, beers, and ales"
25,Raclette Courdavault,5 kg pkg.,6,55,330,8/7/1996,Magazzini Alimentari Riuniti,Giovanni Rovelli,Via Ludovico il Moro 22,Bergamo,24100,Italy,Speedy Express,(503) 555-9831,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
26,Ikura,12 - 200 ml jars,15,31,465,8/8/1996,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,México D.F.,5033,Mexico,Federal Shipping,(503) 555-9931,Tokyo Traders,Yoshi Nagase,9-8 Sekimai Musashino-shi,Tokyo,100,Japan,(03) 3555-5011,Seafood,Seaweed and fish
27,Konbu,2 kg box,10,6,60,8/8/1996,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,México D.F.,5033,Mexico,Federal Shipping,(503) 555-9931,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Seafood,Seaweed and fish
28,Rossle Sauerkraut,25 - 825 g cans,20,45.6,912,8/9/1996,Morgenstern Gesundkost,Alexander Feuer,Heerstr. 22,Leipzig,4179,Germany,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Produce,Dried fruit and bean curd
29,Tarte au sucre,48 pies,12,49.3,591.6,8/9/1996,Morgenstern Gesundkost,Alexander Feuer,Heerstr. 22,Leipzig,4179,Germany,Federal Shipping,(503) 555-9931,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,Confections,"Desserts, candies, and sweet breads"
30,Gula Malacca,20 - 2 kg bags,16,19.45,311.2,8/12/1996,Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,United Package,(503) 555-3199,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
31,Raclette Courdavault,5 kg pkg.,15,55,825,8/12/1996,Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,United Package,(503) 555-3199,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
32,Vegie-spread,15 - 625 g jars,8,43.9,351.2,8/12/1996,Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,United Package,(503) 555-3199,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
33,Rod Kaviar,24 - 150 g jars,25,15,375,8/12/1996,Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,United Package,(503) 555-3199,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67,Seafood,Seaweed and fish
34,Alice Mutton,20 - 1 kg tins,15,39,585,8/13/1996,Lehmanns Marktstand,Renate Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany,United Package,(503) 555-3199,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Meat/Poultry,Prepared meats
35,Guarana Fantastica,12 - 355 ml cans,12,4.5,54,8/14/1996,Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,Speedy Express,(503) 555-9831,Refrescos Americanas LTDA,Carlos Diaz,Av. das Americanas 12.890,São Paulo,5442,Brazil,(11) 555 4640,Beverages,"Soft drinks, coffees, teas, beers, and ales"
36,Pâté chinois,24 boxes x 2 pies,20,24,480,8/14/1996,Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,Speedy Express,(503) 555-9831,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
37,Rhonbrau Klosterbier,24 - 0.5 l bottles,30,7.75,232.5,8/14/1996,Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,Speedy Express,(503) 555-9831,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Beverages,"Soft drinks, coffees, teas, beers, and ales"
38,Teatime Chocolate Biscuits,10 boxes x 12 pieces,1,9.2,9.2,8/14/1996,Romero y tomillo,Alejandra Camino,"Gran Vía, 1",Madrid,28001,Spain,Speedy Express,(503) 555-9831,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
39,Guarana Fantastica,12 - 355 ml cans,6,4.5,27,8/14/1996,Romero y tomillo,Alejandra Camino,"Gran Vía, 1",Madrid,28001,Spain,Speedy Express,(503) 555-9831,Refrescos Americanas LTDA,Carlos Diaz,Av. das Americanas 12.890,São Paulo,5442,Brazil,(11) 555 4640,Beverages,"Soft drinks, coffees, teas, beers, and ales"
40,Steeleye Stout,24 - 12 oz bottles,4,18,72,8/14/1996,Romero y tomillo,Alejandra Camino,"Gran Vía, 1",Madrid,28001,Spain,Speedy Express,(503) 555-9831,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
41,Nord-Ost Matjeshering,10 - 200 g glasses,6,25.89,155.34,8/15/1996,Romero y tomillo,Alejandra Camino,"Gran Vía, 1",Madrid,28001,Spain,Speedy Express,(503) 555-9831,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Frahmredder 112a,Cuxhaven,27478,Germany,(04721) 8713,Seafood,Seaweed and fish
42,Ravioli Angelo,24 - 250 g pkgs.,2,19.5,39,8/15/1996,Romero y tomillo,Alejandra Camino,"Gran Vía, 1",Madrid,28001,Spain,Speedy Express,(503) 555-9831,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
43,Genen Shouyu,24 - 250 ml bottles,20,15.5,310,8/16/1996,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Federal Shipping,(503) 555-9931,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
44,Teatime Chocolate Biscuits,10 boxes x 12 pieces,18,9.2,165.6,8/16/1996,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Federal Shipping,(503) 555-9931,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
45,Camembert Pierrot,15 - 300 g rounds,35,34,1190,8/16/1996,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Federal Shipping,(503) 555-9931,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
46,Mozzarella di Giovanni,24 - 200 g pkgs.,3,34.8,104.4,8/16/1996,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Federal Shipping,(503) 555-9931,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
47,Schoggi Schokolade,100 - 100 g pieces,15,43.9,658.5,8/19/1996,Lehmanns Marktstand,Renate Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany,Speedy Express,(503) 555-9831,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510,Confections,"Desserts, candies, and sweet breads"
48,Gula Malacca,20 - 2 kg bags,21,19.45,408.45,8/19/1996,Lehmanns Marktstand,Renate Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany,Speedy Express,(503) 555-9831,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
49,Camembert Pierrot,15 - 300 g rounds,20,34,680,8/19/1996,Lehmanns Marktstand,Renate Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany,Speedy Express,(503) 555-9831,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
50,Laughing Lumberjack Lager,24 - 12 oz bottles,5,14,70,8/19/1996,Lehmanns Marktstand,Renate Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany,Speedy Express,(503) 555-9831,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
51,Chais,10 boxes x 20 bags,45,18,810,8/20/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,United Package,(503) 555-3199,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
52,Boston Crab Meat,24 - 4 oz tins,40,18.4,736,8/20/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,United Package,(503) 555-3199,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
53,Perth Pasties,48 pieces,36,32.8,1180.8,8/20/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,United Package,(503) 555-3199,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Meat/Poultry,Prepared meats
54,Steeleye Stout,24 - 12 oz bottles,100,18,1800,8/21/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Federal Shipping,(503) 555-9931,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
55,Tarte au sucre,48 pies,40,49.3,1972,8/21/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Federal Shipping,(503) 555-9931,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,Confections,"Desserts, candies, and sweet breads"
56,Pavlova,32 - 500 g boxes,40,17.45,698,8/22/1996,Ricardo Adocicados,Janete Limeira,"Av. Copacabana, 267",Rio de Janeiro,02389-890,Brazil,Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Confections,"Desserts, candies, and sweet breads"
57,Sasquatch Ale,24 - 12 oz bottles,20,14,280,8/22/1996,Ricardo Adocicados,Janete Limeira,"Av. Copacabana, 267",Rio de Janeiro,02389-890,Brazil,Federal Shipping,(503) 555-9931,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
58,Spegesild,4 - 450 g glasses,15,12,180,8/22/1996,Ricardo Adocicados,Janete Limeira,"Av. Copacabana, 267",Rio de Janeiro,02389-890,Brazil,Federal Shipping,(503) 555-9931,Lyngbysild,Niels Petersen,Lyngbysild Fiskebakken 10,Lyngby,2800,Denmark,43844108,Seafood,Seaweed and fish
59,Tourtière,16 pies,10,7.45,74.5,8/23/1996,Reggiani Caseifici,Maurizio Moroni,Strada Provinciale 124,Reggio Emilia,42100,Italy,Speedy Express,(503) 555-9831,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
60,Scottish Longbreads,10 boxes x 8 pieces,3,12.5,37.5,8/23/1996,Reggiani Caseifici,Maurizio Moroni,Strada Provinciale 124,Reggio Emilia,42100,Italy,Speedy Express,(503) 555-9831,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
61,Aniseed Syrup,12 - 550 ml bottles,30,10,300,8/26/1996,B's Beverages,Victoria Ashworth,Fauntleroy Circus,London,EC2 5NT,UK,Federal Shipping,(503) 555-9931,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
62,Wimmers gute Semmelknodel,20 bags x 4 pieces,9,33.25,299.25,8/26/1996,B's Beverages,Victoria Ashworth,Fauntleroy Circus,London,EC2 5NT,UK,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Grains/Cereals,"Breads, crackers, pasta, and cereal"
63,Chef Anton's Gumbo Mix,36 boxes,20,21.35,427,8/27/1996,Comércio Mineiro,Pedro Afonso,"Av. dos Lusíadas, 23",São Paulo,05432-043,Brazil,Speedy Express,(503) 555-9831,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
64,Thuringer Rostbratwurst,50 bags x 30 sausgs.,15,123.79,1856.85,8/27/1996,Comércio Mineiro,Pedro Afonso,"Av. dos Lusíadas, 23",São Paulo,05432-043,Brazil,Speedy Express,(503) 555-9831,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Meat/Poultry,Prepared meats
65,Maxilaku,24 - 50 g pkgs.,15,20,300,8/27/1996,Comércio Mineiro,Pedro Afonso,"Av. dos Lusíadas, 23",São Paulo,05432-043,Brazil,Speedy Express,(503) 555-9831,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Confections,"Desserts, candies, and sweet breads"
66,Original Frankfurter grüne Sope,12 boxes,10,13,130,8/27/1996,Comércio Mineiro,Pedro Afonso,"Av. dos Lusíadas, 23",São Paulo,05432-043,Brazil,Speedy Express,(503) 555-9831,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
67,Konbu,2 kg box,20,6,120,8/27/1996,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,United Package,(503) 555-3199,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Seafood,Seaweed and fish
68,Gula Malacca,20 - 2 kg bags,24,19.45,466.8,8/27/1996,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,United Package,(503) 555-3199,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
69,Gnocchi di nonna Alice,24 - 250 g pkgs.,2,38,76,7/22/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Federal Shipping,(503) 555-9931,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
70,Guarana Fantastica,12 - 355 ml cans,28,4.5,126,7/23/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Federal Shipping,(503) 555-9931,Refrescos Americanas LTDA,Carlos Diaz,Av. das Americanas 12.890,São Paulo,5442,Brazil,(11) 555 4640,Beverages,"Soft drinks, coffees, teas, beers, and ales"
71,Nord-Ost Matjeshering,10 - 200 g glasses,60,25.89,1553.4,7/23/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Federal Shipping,(503) 555-9931,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Frahmredder 112a,Cuxhaven,27478,Germany,(04721) 8713,Seafood,Seaweed and fish
72,Longlife Tofu,5 kg pkg.,36,10,360,7/23/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Federal Shipping,(503) 555-9931,Tokyo Traders,Yoshi Nagase,9-8 Sekimai Musashino-shi,Tokyo,100,Japan,(03) 3555-5011,Produce,Dried fruit and bean curd
73,Chang,24 - 12 oz bottles,35,19,665,7/24/1996,Folk och fä HB,Maria Larsson,Åkergatan 24,Bräcke,S-844 67,Sweden,Federal Shipping,(503) 555-9931,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
74,Jack's New England Clam Chowder,12 - 12 oz cans,25,9.65,241.25,7/24/1996,Folk och fä HB,Maria Larsson,Åkergatan 24,Bräcke,S-844 67,Sweden,Federal Shipping,(503) 555-9931,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
75,Manjimup Dried Apples,50 - 300 g pkgs.,2,53,106,8/27/1996,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,United Package,(503) 555-3199,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Produce,Dried fruit and bean curd
76,Sir Rodney's Marmalade,30 gift boxes,20,81,1620,8/28/1996,Tradição Hipermercados,Anabela Domingues,"Av. Inês de Castro, 414",São Paulo,05634-030,Brazil,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
77,Carnarvon Tigers,16 kg pkg.,12,62.5,750,8/29/1996,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,México D.F.,5033,Mexico,Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Seafood,Seaweed and fish
78,Guarana Fantastica,12 - 355 ml cans,10,4.5,45,8/29/1996,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,México D.F.,5033,Mexico,Federal Shipping,(503) 555-9931,Refrescos Americanas LTDA,Carlos Diaz,Av. das Americanas 12.890,São Paulo,5442,Brazil,(11) 555 4640,Beverages,"Soft drinks, coffees, teas, beers, and ales"
